,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
0,Mmm,Mmm,mmm,1,1,1,Intro: Freddie Mercury,1,1,1,1,1,[1],"[('mmm', 'NN')]",N,POSITIVE,0.9973,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,23,0.5348837209302325,0.9973,89,0.839622641509434,-15.286894,-1.9666328
1,num,num,num,2,1,1,Intro: Freddie Mercury,1,2,1,1,1,[2],"[('num', 'NN')]",N,NEGATIVE,0.9261,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,23,0.5348837209302325,-0.9261,19,0.1792452830188679,-18.72441,-7.3167944
2,ba,ba,ba,3,1,1,Intro: Freddie Mercury,1,3,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,23,0.5348837209302325,0.9783,57,0.5377358490566038,-8.1716,-5.6590405
3,de,de,de,4,1,1,Intro: Freddie Mercury,1,4,8,8,8,"[4, 52, 91, 137, 139, 145, 147, 149]","[('de', 'NNS')]",N,POSITIVE,0.73,Mmm num ba de, mmm num ba de,NEGATIVE,0.7904,-0.7904,23,0.5348837209302325,0.73,32,0.3018867924528302,-8.636865,-22.060522
4,Dum,Dum,dum,5,2,1,Intro: Freddie Mercury,2,5,2,2,2,"[5, 11]","[('dum', 'NN')]",N,NEGATIVE,0.9993,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09302325581395349,-0.9993,4,0.03773584905660377,-18.012066,-7.647649
5,bum,bum,bum,6,2,1,Intro: Freddie Mercury,2,6,1,1,1,[6],"[('bum', 'NN')]",N,NEGATIVE,0.9998,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09302325581395349,-0.9998,0,0.0,-5.8902855,-4.192227
6,ba,ba,ba,7,2,1,Intro: Freddie Mercury,2,7,13,13,13,"[3, 7, 12, 45, 46, 49, 50, 97, 98, 120, 124, 125, 126]","[('ba', 'NN')]",N,POSITIVE,0.9783,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09302325581395349,0.9783,57,0.5377358490566038,-8.361447,-6.2908287
7,be,be,be,8,2,1,Intro: Freddie Mercury,2,8,5,5,5,"[8, 47, 51, 121, 130]","[('be', 'VB')]",V,POSITIVE,0.962,Dum bum ba be, dum bum ba be,NEGATIVE,0.9971,-0.9971,4,0.09302325581395349,0.962,48,0.4528301886792453,4.362959,-17.07071
8,Doo,Doo,doo,9,3,1,Intro: Freddie Mercury,3,9,1,1,1,[9],"[('doo', 'NN')]",N,NEGATIVE,0.9651,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,19,0.4418604651162791,-0.9651,16,0.1509433962264151,-5.731793,-5.0750833
9,buh,buh,buh,10,3,1,Intro: Freddie Mercury,3,10,1,1,1,[10],"[('buh', 'NN')]",N,NEGATIVE,0.9707,Doo buh dum ba beh beh, doo buh dum ba beh beh,NEGATIVE,0.9718,-0.9718,19,0.4418604651162791,-0.9707,15,0.14150943396226415,-16.534437,-9.186904
